Protein,NET_FC_Phi,NET_FC_Pi,,,
ATMG00090.1,3.742396832,0,,,
AT1G71890.1,-3.626180649,0,,,
AT2G27100.1,-1.95389843,0,,,
AT2G39810.1,-2.686861038,0,,,
AT5G47070.1,1.846090317,0,,,
AT1G79730.1,-1.733130455,0,,,
AT2G24590.1,-0.629083633,0,,,
AT3G12440.1,-2.114953041,0,,,
AT3G17712.3,-2.616246223,0,,,
AT5G53930.1,-1.360711098,0,,,
AT1G02840.1,2.763886452,0,,,
AT1G03140.1,-3.189343452,0,,,
AT1G15910.1,-2.329533577,0,,,
AT1G54460.1,-1.258834839,0,,,
AT2G01060.2,-3.543525696,0,,,
AT2G01480.2,-3.275896072,0,,,
AT2G02480.2,-4.399662018,0,,,
AT2G19470.1,-2.751718521,0,,,
AT2G26460.1,-1.457145691,0,,,
AT2G41960.1,-3.023780823,0,,,
AT3G07020.2,-3.089957237,0,,,
AT3G10380.2,-2.386113167,0,,,
AT3G24490.1,-2.496114731,0,,,
AT3G50590.2,-2.921509743,0,,,
AT3G57150.1,-1.707547188,0,,,
AT3G58630.2,-3.133887291,0,,,
AT3G60450.1,-0.999711037,0,,,
AT3G60600.1,-2.537942886,0,,,
AT4G08310.1,-1.760469913,0,,,
AT4G15410.1,-2.249739647,0,,,
AT4G27430.2,-2.132639885,0,,,
AT4G31580.2,-1.209962845,0,,,
AT4G33530.2,-1.524669647,0,,,
AT5G08200.1,-1.380083084,0,,,
AT5G13340.1,-2.507113457,0,,,
AT5G17523.1,-2.444355011,0,,,
AT5G21170.1,-2.969305992,0,,,
AT1G80900.2,-1.365421295,-0.302127838,,,
AT1G16010.3,0,-0.429057598,,,
AT4G31880.1,-1.957513332,-0.513021469,,,
AT2G37340.5,-2.247758865,-0.723359108,,,
AT5G55230.3,-0.781850815,-0.859354973,,,
AT5G52040.7,-1.745990753,-0.876980782,,,
AT5G09620.2,-1.600259781,-0.878555298,,,
AT3G11250.1,0,-0.936053276,,,
AT4G35800.2,0,-0.952091217,,,
AT3G56150.2,3.204367161,-1.007986069,,,
AT1G79020.1,-2.231811047,-1.016381264,,,
AT3G25840.1,-1.498108864,-1.091202736,,,
AT1G71710.2,0.546845436,-1.143918991,,,
AT1G13580.3,0,-1.173978806,,,
AT4G30480.2,0,-1.187608719,,,
AT5G41600.1,-2.120858192,-1.193040848,,,
AT3G62010.2,0,-1.214364052,,,
AT3G55600.2,0,-1.220106125,,,
AT3G17310.3,-1.00644207,-1.22817421,,,
AT3G55460.1,2.395263195,-1.234017372,,,
AT4G14740.4,0,-1.280432701,,,
AT1G01540.1,-1.939771652,-1.302349091,,,
AT1G79280.1,-1.178881645,-1.317576408,,,
AT1G68790.1,-1.540028572,-1.327594757,,,
AT4G13350.2,-2.417624474,-1.32997179,,,
AT4G12610.1,-1.290863991,-1.335199356,,,
AT5G03110.1,0,-1.362483501,,,
AT4G22150.1,-1.608137131,-1.395701885,,,
AT5G57610.1,0,-1.410223961,,,
AT2G21150.1,0,-1.427199364,,,
AT5G11110.1,-2.364499092,-1.433189392,,,
AT5G28040.2,-2.150325775,-1.446331024,,,
AT4G22670.1,0,-1.483354568,,,
AT3G49590.2,-2.414237499,-1.525832176,,,
AT5G55220.1,0,-1.534022331,,,
AT1G76850.1,-3.348212242,-1.544278145,,,
AT2G07360.1,-1.814414978,-1.574119568,,,
AT1G20670.1,0,-1.581207275,,,
AT3G48430.2,-1.353861809,-1.586913586,,,
AT2G15860.1,0,-1.587282181,,,
AT2G38250.1,-2.939634323,-1.588880539,,,
AT5G20280.1,-2.280825615,-1.593740463,,,
AT2G29210.1,3.309077263,-1.607852459,,,
AT2G25730.1,-2.574871063,-1.632192612,,,
AT3G51880.5,-1.799859047,-1.661579132,,,
AT1G67230.1,-1.343038559,-1.686945915,,,
AT4G11740.2,0,-1.720990181,,,
AT1G16610.4,-4.371212482,-1.730493546,,,
AT1G32400.3,-1.294504166,-1.743531227,,,
AT3G12430.1,0,-1.776611328,,,
AT3G23900.4,-1.960519791,-1.813079834,,,
AT5G04430.1,-1.904781342,-1.813346863,,,
AT1G21000.2,-4.092118263,-1.820877552,,,
AT4G00340.2,-3.22278595,-1.827710152,,,
AT1G29400.3,-1.693655968,-1.838541031,,,
AT5G61150.2,-1.30678463,-1.843263149,,,
AT2G42690.1,-2.303770065,-1.846481323,,,
AT5G62390.1,0,-1.855651855,,,
AT5G04550.2,0,-1.867763519,,,
AT5G17690.2,-1.977417946,-1.906040192,,,
AT4G36780.1,0,-1.913957596,,,
AT3G06170.1,-2.019418716,-1.943374634,,,
AT3G49601.1,0,-1.951831341,,,
AT2G39480.2,-2.003663063,-1.953369141,,,
AT1G45207.3,0,-1.959592819,,,
AT4G22740.2,0,-1.961587906,,,
AT2G43160.4,-2.338373184,-1.961970806,,,
AT1G19870.1,-1.737298012,-1.965719223,,,
AT5G53350.1,0,-1.974962234,,,
AT3G14120.2,0,-1.981716156,,,
AT5G62310.1,0,-1.986105919,,,
AT4G02510.4,-2.090384483,-1.994111061,,,
AT1G23860.2,-1.467632294,-2.049830914,,,
